Country,cluster,pc1,pc2
Democratic Republic of the Congo,0,-0.4477705462323709,0.005932770476053396
Republic of the Congo,0,-0.4932033410735443,0.003753242185860611
Costa Rica,0,-0.4335316420421677,0.00945109372571994
Ivory Coast,0,-0.4341232753291223,0.0044699933015068345
Croatia,0,-0.434221471103489,0.008590469851879117
Cyprus,0,-0.4760462630766437,0.004441300438539733
Czech Republic,0,-0.21062311642952103,0.010223901440349232
Denmark,0,-0.1177845954418525,-0.012269051888043359
Djibouti,0,-0.5028121178800925,0.003971405714426642
Dominica,0,-0.5057610358125552,0.003924580818082584
Dominican Republic,0,-0.4039644688598996,0.011263309539880998
Ecuador,0,-0.3975910324454484,0.003622369715124046
Egypt,0,-0.10519618372929006,-0.03212155213901647
El Salvador,0,-0.4763907661744556,0.0047998666958346155
Equatorial Guinea,0,-0.49458723324225007,0.0036130939162524276
Estonia,0,-0.46933888046984384,0.0040820651938967955
Eswatini,0,-0.5017586313719097,0.0037991248283121954
Ethiopia,0,-0.3877207916224321,0.016209499187990802
Fiji,0,-0.501494986551696,0.004092161987183084
Finland,0,-0.2265208925595824,-0.01338011181454224
France,0,2.3330330532186454,-0.10839165433121851
Gabon,0,-0.48776315851472263,0.003729910437358947
Gambia,0,-0.5042413027419688,0.003962342674213597
Georgia,0,-0.482665877030469,0.00839849258383561
Germany,0,3.694320795237698,-0.16000061430317603
Ghana,0,-0.4312442620804242,0.0004519855465500146
Greece,0,-0.2880453992049681,0.005160985195362046
Grenada,0,-0.5051620355258013,0.003931472347864706
Guatemala,0,-0.4144292401525592,0.007849836516401571
Guinea,0,-0.4874965216211259,0.006304096622132708
Guinea-Bissau,0,-0.5045772342954439,0.003962613984962914
Guyana,0,-0.49330637485899237,0.009125491814426933
Haiti,0,-0.4869030789443303,0.004644796642343404
Honduras,0,-0.4768270986980168,0.005850639079133768
Hong Kong,0,-0.144999314459222,-0.010208277414307323
Hungary,0,-0.3216181887476323,0.008361153259514888
Iceland,0,-0.47921895877810455,0.0054841435376277725
India,0,2.7199672867548803,0.10753689321060857
Indonesia,0,0.7173966864894757,0.017764930755002906
Iran,0,-0.19428887101093262,0.04335691946951429
Iraq,0,-0.2699316389830398,0.020219788449633194
Ireland,0,0.005364968882544894,-0.002610048501589335
Israel,0,-0.026949383263737848,-0.001031572656330216
Italy,0,1.6000103928599807,-0.047884839036654615
